tier	task	seconds	joules	pkg_temp_C
default(30/37)	pdf_render	5.92	67.5	42
default(30/37)	office	0.90	13.4	72
default(30/37)	python	0.98	20.1	43
default(30/37)	compress	2.20	76.6	78
20(20/20)	pdf_render	5.91	68.5	46
20(20/20)	office	0.90	14.2	45
20(20/20)	python	0.99	16.6	46
20(20/20)	compress	2.65	52.8	48
15(15/15)	pdf_render	6.05	68.6	47
15(15/15)	office	1.00	13.1	46
15(15/15)	python	1.02	14.9	45
15(15/15)	compress	3.12	46.8	46
12(12/12)	pdf_render	6.00	66.9	46
12(12/12)	office	0.96	11.3	45
12(12/12)	python	1.08	12.8	45
12(12/12)	compress	3.68	44.4	45
10(10/10)	pdf_render	6.30	62.8	45
10(10/10)	office	1.07	10.6	44
10(10/10)	python	1.15	11.7	44
10(10/10)	compress	4.29	43.1	45
9(9/9)	pdf_render	6.44	57.8	45
9(9/9)	office	1.10	10.2	44
9(9/9)	python	1.21	11.2	43
9(9/9)	compress	4.99	45.2	44
8(8/8)	pdf_render	6.45	51.4	43
8(8/8)	office	1.13	9.3	43
8(8/8)	python	1.23	10.1	42
8(8/8)	compress	5.12	41.2	42
7(7/7)	pdf_render	7.31	51.0	45
7(7/7)	office	1.35	9.5	42
7(7/7)	python	1.41	10.4	42
7(7/7)	compress	6.79	47.8	43
6(6/6)	pdf_render	8.18	49.0	42
6(6/6)	office	1.44	9.0	42
6(6/6)	python	1.62	10.2	42
6(6/6)	compress	9.00	54.4	42
5(5/5)	pdf_render	9.52	47.6	41
5(5/5)	office	1.72	9.1	41
5(5/5)	python	1.80	9.5	41
5(5/5)	compress	11.95	62.3	42
