1789793941.156501	ref	settle
1789793956.168658	cool	wait
1789793962.235748	4/4(12/4)	idle
1789793977.273506	4/4(12/4)	pdf_render
1789793992.472215	4/4(12/4)	gap
1789793996.508522	4/4(12/4)	pdf_render
1789794011.771819	4/4(12/4)	gap
1789794015.808515	4/4(12/4)	office
1789794018.304609	4/4(12/4)	gap
1789794022.337568	4/4(12/4)	office
1789794024.795470	4/4(12/4)	gap
1789794028.835517	4/4(12/4)	python
1789794031.554711	4/4(12/4)	gap
1789794035.590615	4/4(12/4)	python
1789794038.323216	4/4(12/4)	gap
1789794042.355135	4/4(12/4)	compress
1789794052.874599	4/4(12/4)	gap
1789794056.910485	4/4(12/4)	compress
1789794067.565246	4/4(12/4)	gap
1789794071.617509	4/4(12/4)	sustained40s
1789794114.223057	4/4(12/4)	end
1789794122.230498	cool	wait
1789794128.286432	5/5(12/5)	idle
1789794143.324630	5/5(12/5)	pdf_render
1789794158.664001	5/5(12/5)	gap
1789794162.690580	5/5(12/5)	pdf_render
1789794177.939765	5/5(12/5)	gap
1789794181.976632	5/5(12/5)	office
1789794184.445437	5/5(12/5)	gap
1789794188.472465	5/5(12/5)	office
1789794190.950014	5/5(12/5)	gap
1789794194.991821	5/5(12/5)	python
1789794197.662981	5/5(12/5)	gap
1789794201.687558	5/5(12/5)	python
1789794204.454347	5/5(12/5)	gap
1789794208.488959	5/5(12/5)	compress
1789794216.263686	5/5(12/5)	gap
1789794220.298647	5/5(12/5)	compress
1789794228.001677	5/5(12/5)	gap
1789794232.047840	5/5(12/5)	sustained40s
1789794272.029995	5/5(12/5)	end
1789794280.037006	cool	wait
1789794286.091912	6/6(12/6)	idle
1789794301.130235	6/6(12/6)	pdf_render
1789794316.514507	6/6(12/6)	gap
1789794320.541270	6/6(12/6)	pdf_render
1789794336.024232	6/6(12/6)	gap
1789794340.063799	6/6(12/6)	office
1789794342.512189	6/6(12/6)	gap
1789794346.536973	6/6(12/6)	office
1789794348.965802	6/6(12/6)	gap
1789794352.999515	6/6(12/6)	python
1789794355.750530	6/6(12/6)	gap
1789794359.781824	6/6(12/6)	python
1789794362.478681	6/6(12/6)	gap
1789794366.512730	6/6(12/6)	compress
1789794372.828805	6/6(12/6)	gap
1789794376.865112	6/6(12/6)	compress
1789794383.109524	6/6(12/6)	gap
1789794387.155215	6/6(12/6)	sustained40s
1789794430.491797	6/6(12/6)	end
1789794438.498562	cool	wait
1789794456.623965	4/8(12/8)	idle
1789794471.665633	4/8(12/8)	pdf_render
1789794487.177923	4/8(12/8)	gap
1789794491.208485	4/8(12/8)	pdf_render
1789794506.519045	4/8(12/8)	gap
1789794510.559022	4/8(12/8)	office
1789794513.046761	4/8(12/8)	gap
1789794517.071125	4/8(12/8)	office
1789794519.500715	4/8(12/8)	gap
1789794523.534038	4/8(12/8)	python
1789794526.235787	4/8(12/8)	gap
1789794530.260532	4/8(12/8)	python
1789794532.909837	4/8(12/8)	gap
1789794536.945590	4/8(12/8)	compress
1789794541.515334	4/8(12/8)	gap
1789794545.553240	4/8(12/8)	compress
1789794550.356313	4/8(12/8)	gap
1789794554.402011	4/8(12/8)	sustained40s
1789794595.779148	4/8(12/8)	end
1789794603.786108	cool	wait
1789794609.854283	5/8(12/8)	idle
1789794624.890292	5/8(12/8)	pdf_render
1789794639.862709	5/8(12/8)	gap
1789794643.889225	5/8(12/8)	pdf_render
1789794658.841717	5/8(12/8)	gap
1789794662.884487	5/8(12/8)	office
1789794665.348380	5/8(12/8)	gap
1789794669.382322	5/8(12/8)	office
1789794671.831368	5/8(12/8)	gap
1789794675.874090	5/8(12/8)	python
1789794678.605775	5/8(12/8)	gap
1789794682.639534	5/8(12/8)	python
1789794685.302272	5/8(12/8)	gap
1789794689.341055	5/8(12/8)	compress
1789794694.097221	5/8(12/8)	gap
1789794698.136895	5/8(12/8)	compress
1789794702.977885	5/8(12/8)	gap
1789794707.019192	5/8(12/8)	sustained40s
1789794749.787412	5/8(12/8)	end
1789794757.794673	cool	wait
1789794779.948936	6/8(12/8)	idle
1789794794.990998	6/8(12/8)	pdf_render
1789794809.958950	6/8(12/8)	gap
1789794813.993605	6/8(12/8)	pdf_render
1789794829.368531	6/8(12/8)	gap
1789794833.411130	6/8(12/8)	office
1789794835.793773	6/8(12/8)	gap
1789794839.824540	6/8(12/8)	office
1789794842.274257	6/8(12/8)	gap
1789794846.326772	6/8(12/8)	python
1789794849.101482	6/8(12/8)	gap
1789794853.127880	6/8(12/8)	python
1789794855.955821	6/8(12/8)	gap
1789794859.993390	6/8(12/8)	compress
1789794864.924184	6/8(12/8)	gap
1789794868.966740	6/8(12/8)	compress
1789794873.826129	6/8(12/8)	gap
1789794877.877609	6/8(12/8)	sustained40s
1789794922.689992	6/8(12/8)	end
1789794930.696567	cool	wait
1789794966.926300	8/8(12/8)	idle
1789794981.971061	8/8(12/8)	pdf_render
1789794997.331114	8/8(12/8)	gap
1789795001.368194	8/8(12/8)	pdf_render
1789795016.812721	8/8(12/8)	gap
1789795020.855762	8/8(12/8)	office
1789795023.286508	8/8(12/8)	gap
