tier	task	seconds	t0	t1	soc_joules	work
4/4(12/4)	pdf_render	15.168	1789793977.285	1789793992.453	28.1	1
4/4(12/4)	office	2.426	1789794022.346	1789794024.772	5.9	1
4/4(12/4)	python	2.693	1789794028.844	1789794031.537	6.9	1
4/4(12/4)	compress	10.489	1789794042.368	1789794052.857	42.4	1
4/4(12/4)	sustained40s	42.562	1789794071.629	1789794114.191	169.9	1000
5/5(12/5)	pdf_render	15.22	1789794162.702	1789794177.922	27.7	1
5/5(12/5)	office	2.436	1789794181.989	1789794184.425	5.8	1
5/5(12/5)	python	2.641	1789794195.003	1789794197.644	6.5	1
5/5(12/5)	compress	7.668	1789794220.312	1789794227.980	38.6	1
5/5(12/5)	sustained40s	39.943	1789794232.061	1789794272.004	198.5	1250
6/6(12/6)	pdf_render	15.351	1789794301.143	1789794316.494	27.5	1
6/6(12/6)	office	2.395	1789794346.550	1789794348.945	5.7	1
6/6(12/6)	python	2.666	1789794359.790	1789794362.456	6.6	1
6/6(12/6)	compress	6.207	1789794376.879	1789794383.086	36.6	1
6/6(12/6)	sustained40s	43.293	1789794387.167	1789794430.460	255.4	1750
4/8(12/8)	pdf_render	15.28	1789794491.217	1789794506.497	27.6	1
4/8(12/8)	office	2.393	1789794517.084	1789794519.477	5.6	1
4/8(12/8)	python	2.622	1789794530.268	1789794532.890	6.5	1
4/8(12/8)	compress	4.538	1789794536.958	1789794541.496	36.0	1
4/8(12/8)	sustained40s	41.331	1789794554.410	1789794595.741	202.3	1250
5/8(12/8)	pdf_render	14.917	1789794643.901	1789794658.818	27.3	1
5/8(12/8)	office	2.417	1789794669.391	1789794671.808	5.6	1
5/8(12/8)	python	2.627	1789794682.650	1789794685.277	7.0	1
5/8(12/8)	compress	4.733	1789794689.353	1789794694.086	37.3	1
5/8(12/8)	sustained40s	42.717	1789794707.032	1789794749.749	265.7	1750
6/8(12/8)	pdf_render	14.937	1789794795.002	1789794809.939	27.7	1
6/8(12/8)	office	2.356	1789794833.419	1789794835.775	5.8	1
6/8(12/8)	python	2.745	1789794846.336	1789794849.081	6.7	1
6/8(12/8)	compress	4.829	1789794868.978	1789794873.807	37.3	1
6/8(12/8)	sustained40s	44.774	1789794877.886	1789794922.660	331.3	2250
8/8(12/8)	pdf_render	15.334	1789794981.980	1789794997.314	27.5	1
8/8(12/8)	office	2.403	1789795020.864	1789795023.267	5.6	1
8/8(12/8)	python	2.595	1789795033.837	1789795036.432	6.8	1
8/8(12/8)	compress	4.743	1789795047.223	1789795051.966	36.7	1
8/8(12/8)	sustained40s	43.017	1789795064.932	1789795107.949	335.6	2250
8/8@balance_power(12/8)	pdf_render	9.885	1789795171.290	1789795181.175	27.8	1
8/8@balance_power(12/8)	office	1.688	1789795205.033	1789795206.721	6.0	1
8/8@balance_power(12/8)	python	1.483	1789795216.323	1789795217.806	7.6	1
8/8@balance_power(12/8)	compress	4.618	1789795221.868	1789795226.486	36.5	1
8/8@balance_power(12/8)	sustained40s	42.049	1789795239.335	1789795281.384	334.4	2250
8/12(12/12)	pdf_render	15.274	1789795366.089	1789795381.363	27.0	1
8/12(12/12)	office	2.385	1789795385.434	1789795387.819	5.5	1
8/12(12/12)	python	2.577	1789795405.067	1789795407.644	6.6	1
8/12(12/12)	compress	3.785	1789795419.765	1789795423.550	42.4	1
8/12(12/12)	sustained40s	40.455	1789795427.628	1789795468.083	412.9	2500
8/15(12/15)	pdf_render	15.062	1789795568.911	1789795583.973	27.2	1
8/15(12/15)	office	2.402	1789795588.047	1789795590.449	5.5	1
8/15(12/15)	python	2.57	1789795601.026	1789795603.596	6.5	1
8/15(12/15)	compress	3.807	1789795614.358	1789795618.165	43.8	1
8/15(12/15)	sustained40s	40.552	1789795630.247	1789795670.799	418.1	2500
10/10(12/10)	pdf_render	15.034	1789795752.212	1789795767.246	28.2	1
10/10(12/10)	office	2.387	1789795790.679	1789795793.066	5.5	1
10/10(12/10)	python	2.673	1789795803.613	1789795806.286	7.0	1
10/10(12/10)	compress	4.075	1789795825.348	1789795829.423	38.3	1
10/10(12/10)	sustained40s	40.7	1789795833.501	1789795874.201	385.3	2500
12/12(12/12)	pdf_render	14.905	1789795949.575	1789795964.480	27.3	1
12/12(12/12)	office	2.438	1789795987.884	1789795990.322	5.5	1
12/12(12/12)	python	2.627	1789796000.901	1789796003.528	6.6	1
12/12(12/12)	compress	3.862	1789796014.319	1789796018.181	42.2	1
12/12(12/12)	sustained40s	42.241	1789796030.306	1789796072.547	464.4	2750
fw(12/21)	pdf_render	15.149	1789796161.969	1789796177.118	27.6	1
fw(12/21)	office	2.377	1789796207.175	1789796209.552	5.6	1
fw(12/21)	python	2.67	1789796213.625	1789796216.295	6.9	1
fw(12/21)	compress	3.791	1789796235.074	1789796238.865	43.5	1
fw(12/21)	sustained40s	41.228	1789796242.944	1789796284.172	486.8	2750
