t_s,tier,phase,soc_w,core_w,uncore_w,bat_power_now_w,bat_energy_wh,pkg_temp_c,cpu_mhz,fan_rpm
0.00,ref,settle,0.911,0.087,0.000,6.520,51.090,38.0,919,0
0.51,ref,settle,0.972,0.320,0.000,6.526,51.080,38.0,1169,0
1.02,ref,settle,0.532,0.020,0.000,6.526,51.080,38.0,675,0
1.53,ref,settle,0.346,0.014,0.000,6.526,51.080,38.0,858,0
2.04,ref,settle,0.613,0.025,0.000,6.526,51.080,38.0,653,0
2.55,ref,settle,1.049,0.339,0.000,6.526,51.080,38.0,951,0
3.06,ref,settle,0.559,0.043,0.000,6.526,51.080,38.0,886,0
3.57,ref,settle,0.439,0.017,0.000,6.536,51.080,38.0,876,0
4.08,ref,settle,0.515,0.024,0.000,6.536,51.080,38.0,740,0
4.59,ref,settle,0.408,0.023,0.000,6.536,51.080,38.0,645,0
5.10,ref,settle,0.666,0.043,0.000,6.536,51.080,38.0,964,0
5.61,ref,settle,0.350,0.026,0.000,6.550,51.080,38.0,879,0
6.12,ref,settle,0.712,0.047,0.000,6.550,51.080,38.0,755,0
6.64,ref,settle,0.339,0.018,0.000,6.550,51.080,37.0,823,0
7.14,ref,settle,0.403,0.024,0.000,6.550,51.080,37.0,1201,0
7.66,ref,settle,0.608,0.018,0.000,6.551,51.070,38.0,833,0
8.16,ref,settle,0.665,0.047,0.000,6.551,51.070,38.0,1009,0
8.68,ref,settle,0.457,0.027,0.000,6.551,51.070,38.0,723,0
9.19,ref,settle,0.406,0.020,0.000,6.551,51.070,38.0,748,0
9.70,ref,settle,0.399,0.018,0.000,6.548,51.070,38.0,669,0
10.21,ref,settle,0.828,0.060,0.000,6.548,51.070,38.0,716,0
10.72,ref,settle,0.425,0.024,0.000,6.548,51.070,37.0,631,0
11.23,ref,settle,0.477,0.029,0.000,6.548,51.070,37.0,815,0
11.74,ref,settle,0.404,0.024,0.000,6.548,51.070,37.0,658,0
12.25,ref,settle,0.382,0.025,0.000,6.548,51.070,37.0,1165,0
12.76,ref,settle,1.027,0.342,0.000,6.548,51.070,37.0,665,0
13.26,ref,settle,0.517,0.033,0.000,6.548,51.070,37.0,765,0
13.77,ref,settle,0.336,0.017,0.000,6.548,51.070,37.0,857,0
14.28,ref,settle,0.783,0.038,0.000,6.548,51.070,37.0,574,0
14.79,ref,settle,0.580,0.070,0.000,6.549,51.070,38.0,1326,0
15.29,cool,wait,1.009,0.323,0.000,6.549,51.070,38.0,769,0
15.80,cool,wait,0.474,0.047,0.000,6.549,51.070,37.0,1296,0
16.31,cool,wait,0.399,0.022,0.000,6.549,51.070,37.0,1048,0
16.82,cool,wait,0.441,0.043,0.000,6.547,51.060,37.0,758,0
17.32,cool,wait,0.507,0.018,0.000,6.547,51.060,37.0,786,0
17.83,cool,wait,0.409,0.036,0.000,6.547,51.060,37.0,710,0
18.34,cool,wait,0.481,0.023,0.000,6.547,51.060,37.0,870,0
18.85,cool,wait,0.835,0.032,0.000,6.552,51.060,38.0,732,0
19.35,cool,wait,0.380,0.019,0.000,6.552,51.060,38.0,854,0
19.86,cool,wait,0.479,0.033,0.000,6.552,51.060,37.0,669,0
20.37,cool,wait,0.364,0.024,0.000,6.552,51.060,37.0,593,0
20.88,cool,wait,0.916,0.228,0.000,6.552,51.060,39.0,768,0
21.38,4/4(12/4),idle,1.067,0.315,0.000,6.552,51.060,39.0,984,0
21.89,4/4(12/4),idle,0.581,0.093,0.000,6.552,51.060,37.0,762,0
22.40,4/4(12/4),idle,1.011,0.179,0.000,6.552,51.060,37.0,1136,0
22.91,4/4(12/4),idle,1.015,0.299,0.000,6.548,51.060,38.0,930,0
23.41,4/4(12/4),idle,0.636,0.029,0.000,6.548,51.060,38.0,925,0
23.92,4/4(12/4),idle,0.819,0.185,0.000,6.548,51.060,37.0,655,0
24.43,4/4(12/4),idle,1.211,0.117,0.000,6.548,51.060,37.0,733,0
24.94,4/4(12/4),idle,0.767,0.090,0.000,6.548,51.060,37.0,743,0
25.44,4/4(12/4),idle,0.438,0.027,0.000,6.548,51.060,37.0,728,0
25.95,4/4(12/4),idle,0.434,0.051,0.000,6.548,51.060,37.0,704,0
26.46,4/4(12/4),idle,0.325,0.011,0.000,6.548,51.060,37.0,661,0
26.97,4/4(12/4),idle,0.673,0.062,0.000,6.548,51.060,37.0,594,0
27.48,4/4(12/4),idle,0.512,0.015,0.000,6.548,51.060,37.0,577,0
27.99,4/4(12/4),idle,0.579,0.030,0.000,6.545,51.050,37.0,634,0
28.49,4/4(12/4),idle,0.447,0.013,0.000,6.545,51.050,37.0,637,0
29.00,4/4(12/4),idle,0.412,0.021,0.000,6.545,51.050,37.0,832,0
29.51,4/4(12/4),idle,0.404,0.019,0.000,6.545,51.050,37.0,587,0
30.02,4/4(12/4),idle,0.943,0.072,0.000,6.551,51.050,37.0,875,0
30.52,4/4(12/4),idle,0.358,0.025,0.000,6.551,51.050,37.0,813,0
31.03,4/4(12/4),idle,0.310,0.014,0.000,6.551,51.050,37.0,650,0
31.54,4/4(12/4),idle,0.398,0.018,0.000,6.551,51.050,37.0,684,0
32.05,4/4(12/4),idle,0.633,0.024,0.000,6.550,51.050,37.0,641,0
32.55,4/4(12/4),idle,0.919,0.280,0.000,6.550,51.050,37.0,662,0
