1789797426.108331	ref	settle
1789797447.328716	warm	warm
1789797467.228171	cool	wait
1789797467.469377	saver#r1	idle
1789797477.501306	saver#r1	bursty
1789797487.601149	saver#r1	gap
1789797490.632027	saver#r1	pdf_render
1789797505.647746	saver#r1	gap
1789797508.677222	saver#r1	office
1789797511.169371	saver#r1	gap
1789797514.202916	saver#r1	python
1789797516.870192	saver#r1	gap
1789797519.905028	saver#r1	compress
1789797526.124457	saver#r1	gap
1789797529.165925	saver#r1	sustained20s
1789797554.068461	saver#r1	end
1789797564.360987	cool	wait
1789797564.538416	balanced#r1	idle
1789797574.576187	balanced#r1	bursty
1789797584.674361	balanced#r1	gap
1789797587.712092	balanced#r1	pdf_render
1789797597.633999	balanced#r1	gap
1789797600.668329	balanced#r1	office
1789797602.334096	balanced#r1	gap
1789797605.356529	balanced#r1	python
1789797606.836792	balanced#r1	gap
1789797609.869430	balanced#r1	compress
1789797616.131720	balanced#r1	gap
1789797619.178003	balanced#r1	sustained20s
1789797643.818747	balanced#r1	end
1789797654.099117	cool	wait
1789797658.291352	saver+bp#r1	idle
1789797668.328642	saver+bp#r1	bursty
1789797678.445043	saver+bp#r1	gap
1789797681.469842	saver+bp#r1	pdf_render
1789797691.294906	saver+bp#r1	gap
1789797694.326673	saver+bp#r1	office
1789797695.959064	saver+bp#r1	gap
1789797698.986582	saver+bp#r1	python
1789797700.493469	saver+bp#r1	gap
1789797703.522737	saver+bp#r1	compress
1789797709.715197	saver+bp#r1	gap
1789797712.757328	saver+bp#r1	sustained20s
1789797737.568557	saver+bp#r1	end
1789797747.846572	cool	wait
1789797758.080213	balanced#r2	idle
1789797768.121489	balanced#r2	bursty
1789797778.212639	balanced#r2	gap
1789797781.249997	balanced#r2	pdf_render
1789797791.176248	balanced#r2	gap
1789797794.204719	balanced#r2	office
1789797795.871007	balanced#r2	gap
1789797798.902512	balanced#r2	python
1789797800.396113	balanced#r2	gap
1789797803.425711	balanced#r2	compress
1789797809.664605	balanced#r2	gap
1789797812.701341	balanced#r2	sustained20s
1789797837.188166	balanced#r2	end
1789797847.436567	cool	wait
1789797857.693652	saver+bp#r2	idle
1789797867.739581	saver+bp#r2	bursty
1789797877.829706	saver+bp#r2	gap
1789797880.855135	saver+bp#r2	pdf_render
1789797890.704312	saver+bp#r2	gap
1789797893.742679	saver+bp#r2	office
1789797895.373190	saver+bp#r2	gap
1789797898.398316	saver+bp#r2	python
1789797899.881870	saver+bp#r2	gap
1789797902.903711	saver+bp#r2	compress
1789797909.153485	saver+bp#r2	gap
1789797912.189157	saver+bp#r2	sustained20s
1789797936.737332	saver+bp#r2	end
1789797946.918567	cool	wait
1789797957.146936	saver#r2	idle
1789797967.179852	saver#r2	bursty
1789797977.275130	saver#r2	gap
1789797980.300188	saver#r2	pdf_render
1789797990.118962	saver#r2	gap
1789797993.143053	saver#r2	office
1789797994.749911	saver#r2	gap
1789797997.772741	saver#r2	python
1789797999.263291	saver#r2	gap
1789798002.287661	saver#r2	compress
1789798008.490625	saver#r2	gap
1789798011.534328	saver#r2	sustained20s
1789798036.193796	saver#r2	end
1789798046.386203	cool	wait
1789798058.639815	saver+bp#r3	idle
1789798068.681214	saver+bp#r3	bursty
1789798078.767989	saver+bp#r3	gap
1789798081.828696	saver+bp#r3	pdf_render
1789798091.654851	saver+bp#r3	gap
1789798094.680322	saver+bp#r3	office
1789798096.436338	saver+bp#r3	gap
1789798099.467062	saver+bp#r3	python
1789798100.943826	saver+bp#r3	gap
1789798103.966914	saver+bp#r3	compress
1789798110.071283	saver+bp#r3	gap
1789798113.106251	saver+bp#r3	sustained20s
1789798137.864645	saver+bp#r3	end
1789798148.056406	cool	wait
1789798160.333398	saver#r3	idle
1789798170.379218	saver#r3	bursty
1789798180.466373	saver#r3	gap
1789798183.496486	saver#r3	pdf_render
1789798193.419140	saver#r3	gap
1789798196.446671	saver#r3	office
1789798198.072721	saver#r3	gap
1789798201.102992	saver#r3	python
1789798202.610968	saver#r3	gap
1789798205.638572	saver#r3	compress
1789798211.797385	saver#r3	gap
1789798214.838446	saver#r3	sustained20s
1789798239.462671	saver#r3	end
1789798249.702412	cool	wait
1789798259.963562	balanced#r3	idle
1789798270.000829	balanced#r3	bursty
1789798280.091798	balanced#r3	gap
1789798283.117230	balanced#r3	pdf_render
1789798292.949128	balanced#r3	gap
1789798295.977780	balanced#r3	office
1789798297.692528	balanced#r3	gap
1789798300.723800	balanced#r3	python
1789798302.234234	balanced#r3	gap
1789798305.258312	balanced#r3	compress
1789798311.333407	balanced#r3	gap
1789798314.368360	balanced#r3	sustained20s
1789798338.974385	balanced#r3	end
1789798349.277462	cool	wait
1789798361.565292	saver#r4	idle
1789798371.600900	saver#r4	bursty
1789798381.702078	saver#r4	gap
1789798384.726926	saver#r4	pdf_render
1789798399.757489	saver#r4	gap
1789798402.784595	saver#r4	office
1789798405.225466	saver#r4	gap
1789798408.250311	saver#r4	python
1789798410.940032	saver#r4	gap
1789798413.965602	saver#r4	compress
1789798420.167174	saver#r4	gap
1789798423.202213	saver#r4	sustained20s
1789798448.134774	saver#r4	end
1789798458.359810	cool	wait
1789798466.615518	saver+bp#r4	idle
1789798476.652019	saver+bp#r4	bursty
1789798486.745126	saver+bp#r4	gap
1789798489.780211	saver+bp#r4	pdf_render
1789798499.606781	saver+bp#r4	gap
1789798502.639517	saver+bp#r4	office
1789798504.347695	saver+bp#r4	gap
1789798507.373966	saver+bp#r4	python
1789798508.883536	saver+bp#r4	gap
1789798511.911247	saver+bp#r4	compress
1789798517.980474	saver+bp#r4	gap
1789798521.023019	saver+bp#r4	sustained20s
1789798545.796719	saver+bp#r4	end
1789798556.065098	cool	wait
1789798568.347176	balanced#r4	idle
1789798578.383971	balanced#r4	bursty
1789798588.478354	balanced#r4	gap
1789798591.509878	balanced#r4	pdf_render
1789798601.335492	balanced#r4	gap
1789798604.366524	balanced#r4	office
1789798606.050523	balanced#r4	gap
1789798609.080607	balanced#r4	python
1789798610.602408	balanced#r4	gap
1789798613.632236	balanced#r4	compress
1789798619.863544	balanced#r4	gap
1789798622.897814	balanced#r4	sustained20s
1789798647.431662	balanced#r4	end
1789798657.672133	cool	wait
1789798669.925598	balanced#r5	idle
1789798679.973518	balanced#r5	bursty
1789798690.063486	balanced#r5	gap
1789798693.087779	balanced#r5	pdf_render
1789798702.922092	balanced#r5	gap
1789798705.953174	balanced#r5	office
1789798707.590172	balanced#r5	gap
1789798710.612084	balanced#r5	python
1789798712.082748	balanced#r5	gap
1789798715.111577	balanced#r5	compress
1789798721.360524	balanced#r5	gap
1789798724.402551	balanced#r5	sustained20s
1789798749.082713	balanced#r5	end
1789798759.403813	cool	wait
1789798771.696390	saver#r5	idle
1789798781.740070	saver#r5	bursty
1789798791.824738	saver#r5	gap
1789798794.862663	saver#r5	pdf_render
1789798810.028494	saver#r5	gap
1789798813.059831	saver#r5	office
1789798815.552848	saver#r5	gap
1789798818.586333	saver#r5	python
1789798821.264657	saver#r5	gap
1789798824.296793	saver#r5	compress
1789798830.351349	saver#r5	gap
1789798833.388320	saver#r5	sustained20s
1789798858.395493	saver#r5	end
1789798868.610575	cool	wait
1789798878.846063	saver+bp#r5	idle
1789798888.885259	saver+bp#r5	bursty
1789798898.975146	saver+bp#r5	gap
1789798902.010756	saver+bp#r5	pdf_render
1789798911.829462	saver+bp#r5	gap
1789798914.864223	saver+bp#r5	office
1789798916.654582	saver+bp#r5	gap
1789798919.689212	saver+bp#r5	python
1789798921.197648	saver+bp#r5	gap
1789798924.223831	saver+bp#r5	compress
1789798930.348571	saver+bp#r5	gap
1789798933.390505	saver+bp#r5	sustained20s
1789798957.972013	saver+bp#r5	end
1789798968.178204	cool	wait
1789798978.431063	saver+bp#r6	idle
1789798988.475901	saver+bp#r6	bursty
1789798998.568339	saver+bp#r6	gap
1789799001.598190	saver+bp#r6	pdf_render
1789799011.512191	saver+bp#r6	gap
1789799014.542911	saver+bp#r6	office
1789799016.274515	saver+bp#r6	gap
1789799019.298298	saver+bp#r6	python
1789799020.811924	saver+bp#r6	gap
1789799023.843099	saver+bp#r6	compress
1789799030.081179	saver+bp#r6	gap
1789799033.123560	saver+bp#r6	sustained20s
1789799057.886302	saver+bp#r6	end
1789799068.187232	cool	wait
1789799080.432924	balanced#r6	idle
1789799090.475808	balanced#r6	bursty
1789799100.564841	balanced#r6	gap
1789799103.599438	balanced#r6	pdf_render
1789799113.517619	balanced#r6	gap
1789799116.549005	balanced#r6	office
1789799118.201979	balanced#r6	gap
1789799121.233274	balanced#r6	python
1789799122.753155	balanced#r6	gap
1789799125.783689	balanced#r6	compress
1789799131.924889	balanced#r6	gap
1789799134.963144	balanced#r6	sustained20s
1789799159.595955	balanced#r6	end
1789799169.867677	cool	wait
1789799182.150117	saver#r6	idle
1789799192.195525	saver#r6	bursty
1789799202.286509	saver#r6	gap
1789799205.318689	saver#r6	pdf_render
1789799220.292626	saver#r6	gap
1789799223.327594	saver#r6	office
1789799225.841162	saver#r6	gap
1789799228.865316	saver#r6	python
1789799231.550761	saver#r6	gap
1789799234.580360	saver#r6	compress
1789799240.977662	saver#r6	gap
1789799244.013291	saver#r6	sustained20s
1789799269.163991	saver#r6	end
