tier	task	seconds	t0	t1	soc_joules	work
saver#r1	bursty	10.051	1789797477.513	1789797487.564	9.4	20
saver#r1	pdf_render	14.989	1789797490.640	1789797505.629	27.3	1
saver#r1	office	2.46	1789797508.685	1789797511.145	5.5	1
saver#r1	python	2.637	1789797514.211	1789797516.848	6.7	1
saver#r1	compress	6.18	1789797519.922	1789797526.102	37.0	1
saver#r1	sustained20s	24.873	1789797529.175	1789797554.048	146.7	1000
balanced#r1	bursty	10.052	1789797574.589	1789797584.641	10.2	20
balanced#r1	pdf_render	9.899	1789797587.721	1789797597.620	28.6	1
balanced#r1	office	1.637	1789797600.679	1789797602.316	9.0	1
balanced#r1	python	1.454	1789797605.369	1789797606.823	7.8	1
balanced#r1	compress	6.232	1789797609.878	1789797616.110	37.2	1
balanced#r1	sustained20s	24.605	1789797619.187	1789797643.792	147.0	1000
saver+bp#r1	bursty	10.071	1789797668.341	1789797678.412	9.6	20
saver+bp#r1	pdf_render	9.807	1789797681.477	1789797691.284	28.5	1
saver+bp#r1	office	1.607	1789797694.338	1789797695.945	6.1	1
saver+bp#r1	python	1.484	1789797698.998	1789797700.482	7.6	1
saver+bp#r1	compress	6.16	1789797703.532	1789797709.692	37.0	1
saver+bp#r1	sustained20s	24.778	1789797712.768	1789797737.546	148.0	1000
balanced#r2	bursty	10.047	1789797768.133	1789797778.180	9.6	20
balanced#r2	pdf_render	9.904	1789797781.259	1789797791.163	28.2	1
balanced#r2	office	1.64	1789797794.217	1789797795.857	6.0	1
balanced#r2	python	1.471	1789797798.911	1789797800.382	7.8	1
balanced#r2	compress	6.209	1789797803.435	1789797809.644	37.1	1
balanced#r2	sustained20s	24.444	1789797812.716	1789797837.160	146.1	1000
saver+bp#r2	bursty	10.05	1789797867.748	1789797877.798	11.3	20
saver+bp#r2	pdf_render	9.805	1789797880.869	1789797890.674	28.5	1
saver+bp#r2	office	1.607	1789797893.753	1789797895.360	6.4	1
saver+bp#r2	python	1.459	1789797898.411	1789797899.870	7.8	1
saver+bp#r2	compress	6.214	1789797902.917	1789797909.131	37.1	1
saver+bp#r2	sustained20s	24.509	1789797912.203	1789797936.712	146.5	1000
saver#r2	bursty	10.045	1789797967.193	1789797977.238	9.6	20
saver#r2	pdf_render	9.8	1789797980.308	1789797990.108	28.6	1
saver#r2	office	1.58	1789797993.156	1789797994.736	6.4	1
saver#r2	python	1.462	1789797997.787	1789797999.249	8.1	1
saver#r2	compress	6.172	1789798002.300	1789798008.472	37.0	1
saver#r2	sustained20s	24.625	1789798011.546	1789798036.171	147.1	1000
saver+bp#r3	bursty	10.047	1789798068.689	1789798078.736	9.5	20
saver+bp#r3	pdf_render	9.801	1789798081.837	1789798091.638	28.5	1
saver+bp#r3	office	1.728	1789798094.694	1789798096.422	6.2	1
saver+bp#r3	python	1.452	1789798099.478	1789798100.930	7.8	1
saver+bp#r3	compress	6.069	1789798103.980	1789798110.049	36.3	1
saver+bp#r3	sustained20s	24.721	1789798113.120	1789798137.841	147.6	1000
saver#r3	bursty	10.048	1789798170.388	1789798180.436	9.6	20
saver#r3	pdf_render	9.901	1789798183.505	1789798193.406	27.9	1
saver#r3	office	1.592	1789798196.459	1789798198.051	6.1	1
saver#r3	python	1.486	1789798201.112	1789798202.598	7.8	1
saver#r3	compress	6.13	1789798205.647	1789798211.777	36.7	1
saver#r3	sustained20s	24.594	1789798214.847	1789798239.441	146.9	1000
balanced#r3	bursty	10.047	1789798270.009	1789798280.056	9.3	20
balanced#r3	pdf_render	9.805	1789798283.130	1789798292.935	28.4	1
balanced#r3	office	1.688	1789798295.990	1789798297.678	6.0	1
balanced#r3	python	1.486	1789798300.735	1789798302.221	7.6	1
balanced#r3	compress	6.047	1789798305.266	1789798311.313	36.1	1
balanced#r3	sustained20s	24.568	1789798314.381	1789798338.949	147.0	1000
saver#r4	bursty	10.051	1789798371.614	1789798381.665	9.4	20
saver#r4	pdf_render	14.995	1789798384.739	1789798399.734	27.3	1
saver#r4	office	2.403	1789798402.797	1789798405.200	5.9	1
saver#r4	python	2.651	1789798408.264	1789798410.915	6.7	1
saver#r4	compress	6.171	1789798413.974	1789798420.145	36.9	1
saver#r4	sustained20s	24.888	1789798423.216	1789798448.104	146.8	1000
saver+bp#r4	bursty	10.045	1789798476.666	1789798486.711	10.6	20
saver+bp#r4	pdf_render	9.805	1789798489.789	1789798499.594	28.9	1
saver+bp#r4	office	1.68	1789798502.654	1789798504.334	6.6	1
saver+bp#r4	python	1.489	1789798507.382	1789798508.871	7.7	1
saver+bp#r4	compress	6.035	1789798511.923	1789798517.958	36.3	1
saver+bp#r4	sustained20s	24.737	1789798521.032	1789798545.769	147.6	1000
balanced#r4	bursty	10.045	1789798578.398	1789798588.443	9.4	20
