t_s,tier,phase,soc_w,core_w,uncore_w,bat_power_now_w,bat_energy_wh,pkg_temp_c,cpu_mhz,fan_rpm
0.00,ref,settle,0.627,0.069,0.000,6.742,44.930,37.0,641,0
0.51,ref,settle,1.189,0.359,0.000,6.742,44.930,36.0,983,0
1.02,ref,settle,0.534,0.037,0.000,6.742,44.930,36.0,828,0
1.53,ref,settle,0.358,0.019,0.000,6.754,44.920,36.0,795,0
2.03,ref,settle,0.483,0.035,0.000,6.754,44.920,36.0,665,0
2.54,ref,settle,0.453,0.022,0.000,6.754,44.920,36.0,955,0
3.05,ref,settle,0.411,0.026,0.000,6.754,44.920,36.0,892,0
3.56,ref,settle,0.655,0.008,0.000,6.758,44.920,36.0,672,0
4.06,ref,settle,0.375,0.024,0.000,6.758,44.920,36.0,885,0
4.57,ref,settle,0.276,0.008,0.000,6.758,44.920,36.0,651,0
5.08,ref,settle,0.418,0.027,0.000,6.758,44.920,36.0,747,0
5.59,ref,settle,0.540,0.025,0.000,6.771,44.920,36.0,657,0
6.09,ref,settle,0.866,0.074,0.000,6.771,44.920,36.0,588,0
6.60,ref,settle,0.331,0.010,0.000,6.771,44.920,36.0,572,0
7.11,ref,settle,0.360,0.025,0.000,6.771,44.920,36.0,655,0
7.62,ref,settle,1.177,0.401,0.000,6.771,44.920,36.0,998,0
8.13,ref,settle,1.276,0.182,0.000,6.771,44.920,36.0,1129,0
8.63,ref,settle,1.242,0.174,0.000,6.764,44.910,36.0,924,0
9.14,ref,settle,1.234,0.177,0.000,6.764,44.910,36.0,556,0
9.65,ref,settle,0.310,0.011,0.000,6.764,44.910,36.0,882,0
10.15,ref,settle,0.489,0.039,0.000,6.764,44.910,36.0,663,0
10.66,ref,settle,0.490,0.033,0.000,6.770,44.910,36.0,642,0
11.17,ref,settle,0.444,0.030,0.000,6.770,44.910,36.0,913,0
11.68,ref,settle,0.492,0.014,0.000,6.770,44.910,36.0,681,0
12.18,ref,settle,0.479,0.026,0.000,6.770,44.910,36.0,642,0
12.69,ref,settle,0.301,0.011,0.000,6.768,44.910,36.0,674,0
13.20,ref,settle,0.876,0.239,0.000,6.768,44.910,36.0,600,0
13.71,ref,settle,0.394,0.026,0.000,6.768,44.910,36.0,560,0
14.22,ref,settle,0.462,0.028,0.000,6.768,44.910,36.0,613,0
14.73,ref,settle,1.086,0.356,0.005,6.772,44.910,36.0,867,0
15.23,ref,settle,0.546,0.035,0.004,6.772,44.910,36.0,678,0
15.74,ref,settle,0.420,0.033,0.005,6.772,44.910,36.0,785,0
16.25,ref,settle,0.900,0.040,0.000,6.772,44.910,36.0,660,0
16.76,ref,settle,0.563,0.029,0.003,6.769,44.910,36.0,655,0
17.26,ref,settle,0.683,0.044,0.002,6.769,44.910,36.0,569,0
17.78,ref,settle,1.015,0.349,0.003,6.769,44.910,36.0,1110,0
18.28,ref,settle,0.539,0.039,0.004,6.769,44.910,36.0,1116,0
18.79,ref,settle,0.403,0.034,0.000,6.769,44.910,36.0,1029,0
19.30,ref,settle,0.370,0.019,0.000,6.769,44.910,36.0,578,0
19.81,ref,settle,0.453,0.031,0.000,6.772,44.900,36.0,578,0
20.31,ref,settle,0.412,0.022,0.000,6.772,44.900,36.0,677,0
20.82,ref,settle,1.157,0.310,0.000,6.772,44.900,37.0,1457,0
21.33,warm,warm,7.947,3.969,0.000,6.772,44.900,37.0,986,0
21.83,warm,warm,5.958,3.197,0.000,6.761,44.900,38.0,1045,0
22.34,warm,warm,5.976,3.256,0.000,6.761,44.900,38.0,1035,0
22.85,warm,warm,5.971,3.078,0.000,6.761,44.900,39.0,1042,0
23.36,warm,warm,5.973,3.068,0.000,6.761,44.900,39.0,999,0
23.87,warm,warm,5.975,2.956,0.000,6.728,44.890,39.0,921,0
24.38,warm,warm,5.970,3.001,0.000,6.728,44.890,39.0,929,0
24.89,warm,warm,5.957,3.005,0.000,6.728,44.890,39.0,1030,0
25.40,warm,warm,5.974,2.997,0.000,6.728,44.890,39.0,991,0
25.91,warm,warm,5.934,3.133,0.000,6.726,44.890,39.0,1094,0
26.42,warm,warm,5.829,3.119,0.000,6.726,44.890,39.0,1238,0
26.93,warm,warm,3.787,1.708,0.000,6.726,44.890,38.0,901,0
27.43,warm,warm,0.993,0.454,0.000,6.726,44.890,38.0,1630,0
27.94,warm,warm,1.274,0.536,0.000,6.761,44.880,38.0,949,0
28.45,warm,warm,1.117,0.415,0.000,6.761,44.880,38.0,738,0
28.96,warm,warm,0.988,0.317,0.000,6.761,44.880,38.0,869,0
29.47,warm,warm,0.533,0.082,0.000,6.761,44.880,38.0,847,0
29.98,warm,warm,1.194,0.359,0.000,6.761,44.880,37.0,707,0
30.49,warm,warm,0.420,0.018,0.000,6.761,44.880,37.0,663,0
31.00,warm,warm,0.585,0.025,0.000,6.763,44.880,36.0,864,0
31.51,warm,warm,0.817,0.012,0.000,6.763,44.880,36.0,585,0
32.02,warm,warm,0.699,0.069,0.000,6.763,44.880,36.0,683,0
32.53,warm,warm,0.500,0.024,0.000,6.763,44.880,36.0,705,0
33.04,warm,warm,0.543,0.033,0.000,6.765,44.880,36.0,647,0
33.55,warm,warm,0.420,0.014,0.000,6.765,44.880,36.0,770,0
34.06,warm,warm,0.671,0.038,0.000,6.765,44.880,37.0,865,0
34.57,warm,warm,1.337,0.342,0.003,6.765,44.880,37.0,1090,0
35.08,warm,warm,0.648,0.064,0.004,6.766,44.870,36.0,758,0
35.59,warm,warm,0.401,0.025,0.000,6.766,44.870,36.0,889,0
36.11,warm,warm,0.795,0.051,0.003,6.766,44.870,36.0,719,0
36.61,warm,warm,0.435,0.028,0.003,6.766,44.870,36.0,776,0
37.12,warm,warm,0.437,0.029,0.004,6.770,44.870,36.0,847,0
37.63,warm,warm,0.954,0.263,0.003,6.770,44.870,36.0,1021,0
38.14,warm,warm,0.523,0.034,0.002,6.770,44.870,36.0,922,0
38.65,warm,warm,0.400,0.019,0.000,6.770,44.870,36.0,673,0
39.16,warm,warm,0.648,0.041,0.000,6.768,44.870,36.0,664,0
39.67,warm,warm,0.390,0.018,0.000,6.768,44.870,36.0,675,0
40.18,warm,warm,0.452,0.042,0.000,6.768,44.870,36.0,672,0
40.69,warm,warm,0.629,0.113,0.000,6.768,44.870,36.0,1015,0
