t_s,tier,phase,soc_w,core_w,uncore_w,bat_power_now_w,bat_energy_wh,pkg_temp_c,cpu_mhz,fan_rpm
0.00,,gap,1.152,0.367,0.008,3.517,24.070,33.0,1064,0
0.51,stress,idle,0.749,0.229,0.004,3.508,24.060,32.0,781,0
1.01,stress,idle,0.638,0.062,0.000,3.508,24.060,32.0,593,0
1.52,stress,idle,0.412,0.020,0.002,3.508,24.060,32.0,817,0
2.03,stress,idle,0.609,0.044,0.003,3.508,24.060,32.0,811,0
2.54,stress,idle,0.325,0.014,0.000,3.519,24.060,32.0,872,0
3.05,stress,idle,0.484,0.032,0.000,3.519,24.060,32.0,1350,0
3.56,stress,idle,0.325,0.013,0.000,3.519,24.060,32.0,1121,0
4.06,stress,idle,0.562,0.023,0.000,3.519,24.060,32.0,550,0
4.57,stress,idle,0.299,0.012,0.000,3.519,24.060,32.0,881,0
5.08,stress,idle,0.732,0.056,0.000,3.519,24.060,32.0,1004,0
5.59,stress,idle,0.335,0.011,0.000,3.519,24.060,32.0,657,0
6.09,stress,idle,0.510,0.051,0.000,3.519,24.060,32.0,631,0
6.60,stress,idle,0.414,0.029,0.000,3.516,24.050,32.0,665,0
7.11,stress,idle,0.498,0.030,0.000,3.516,24.050,32.0,687,0
7.62,stress,idle,0.489,0.013,0.000,3.516,24.050,32.0,621,0
8.12,stress,idle,1.104,0.353,0.000,3.516,24.050,32.0,1289,0
8.63,stress,idle,0.528,0.071,0.000,3.514,24.050,32.0,745,0
9.14,stress,idle,0.409,0.034,0.000,3.514,24.050,32.0,783,0
9.65,stress,idle,0.374,0.015,0.000,3.514,24.050,32.0,798,0
10.16,stress,idle,0.380,0.027,0.000,3.514,24.050,32.0,931,0
10.67,stress,idle,0.449,0.014,0.000,3.514,24.050,32.0,890,0
11.17,stress,idle,0.361,0.024,0.000,3.514,24.050,32.0,948,0
11.68,stress,idle,0.389,0.017,0.000,3.518,24.050,32.0,795,0
12.19,stress,idle,0.509,0.034,0.000,3.518,24.050,32.0,864,0
12.70,stress,idle,0.368,0.014,0.000,3.518,24.050,32.0,615,0
13.21,stress,idle,0.387,0.029,0.000,3.518,24.050,32.0,756,0
13.72,stress,idle,0.335,0.013,0.000,3.519,24.040,32.0,783,0
14.22,stress,idle,0.378,0.031,0.000,3.519,24.040,32.0,1107,0
14.73,stress,idle,0.362,0.018,0.000,3.519,24.040,32.0,651,0
15.24,stress,idle,0.625,0.037,0.000,3.519,24.040,32.0,1068,0
15.75,stress,idle,0.585,0.044,0.000,3.517,24.040,32.0,845,0
16.26,stress,idle,0.809,0.057,0.000,3.517,24.040,32.0,618,0
16.77,stress,idle,0.340,0.012,0.000,3.517,24.040,32.0,663,0
17.28,stress,idle,0.422,0.030,0.000,3.517,24.040,32.0,652,0
17.79,stress,idle,0.362,0.015,0.000,3.519,24.030,32.0,652,0
18.30,stress,idle,1.344,0.348,0.000,3.519,24.030,32.0,765,0
18.82,stress,idle,0.406,0.012,0.000,3.519,24.030,32.0,801,0
19.32,stress,idle,0.486,0.029,0.000,3.519,24.030,32.0,692,0
19.84,stress,idle,1.615,0.703,0.003,3.519,24.030,32.0,1097,0
20.34,stress,single,4.283,3.223,0.000,3.519,24.030,32.0,1561,0
20.86,stress,single,4.592,3.588,0.004,3.519,24.030,42.0,1073,0
21.36,stress,single,4.317,3.383,0.004,3.519,24.030,42.0,912,0
21.87,stress,single,4.434,3.358,0.004,3.519,24.030,42.0,1699,0
22.37,stress,single,4.372,3.403,0.002,3.519,24.030,42.0,913,0
22.88,stress,single,4.266,3.356,0.002,3.506,24.030,43.0,1369,0
23.39,stress,single,4.352,3.404,0.002,3.506,24.030,43.0,1064,0
23.90,stress,single,4.278,3.367,0.000,3.506,24.030,43.0,937,0
24.40,stress,single,4.228,3.335,0.000,3.506,24.030,43.0,899,0
24.91,stress,single,4.263,3.357,0.000,3.506,24.020,42.0,921,0
25.42,stress,single,4.240,3.334,0.000,3.506,24.020,42.0,900,0
25.93,stress,single,4.336,3.422,0.000,3.506,24.020,43.0,1115,0
26.43,stress,single,4.226,3.335,0.000,3.506,24.020,43.0,1100,0
26.94,stress,single,4.355,3.355,0.000,3.506,24.010,43.0,903,0
27.45,stress,single,4.252,3.352,0.000,3.506,24.010,43.0,909,0
27.95,stress,single,4.263,3.375,0.000,3.506,24.010,43.0,925,0
28.46,stress,single,5.131,3.825,0.000,3.506,24.010,43.0,887,0
28.97,stress,single,4.341,3.405,0.000,3.504,24.010,43.0,926,0
29.47,stress,single,4.294,3.380,0.000,3.504,24.010,43.0,976,0
29.98,stress,single,4.322,3.394,0.000,3.504,24.010,43.0,1157,0
30.49,stress,single,4.243,3.326,0.000,3.504,24.010,43.0,900,0
31.00,stress,single,4.318,3.382,0.000,3.505,24.000,44.0,1774,0
31.50,stress,single,4.292,3.352,0.000,3.505,24.000,44.0,895,0
32.01,stress,single,4.368,3.401,0.000,3.505,24.000,44.0,1211,0
32.51,stress,single,4.264,3.326,0.000,3.505,24.000,44.0,904,0
33.02,stress,single,4.273,3.372,0.000,3.505,24.000,44.0,906,0
33.53,stress,single,4.252,3.359,0.000,3.505,24.000,44.0,1082,0
34.04,stress,single,4.363,3.430,0.000,3.506,24.000,44.0,1070,0
34.54,stress,single,4.231,3.346,0.000,3.506,24.000,44.0,912,0
35.05,stress,single,4.288,3.374,0.000,3.506,24.000,44.0,1084,0
35.56,stress,single,4.237,3.334,0.000,3.506,24.000,44.0,906,0
36.07,stress,single,4.322,3.418,0.000,3.503,23.990,44.0,1181,0
36.57,stress,single,4.247,3.351,0.000,3.503,23.990,44.0,910,0
37.08,stress,single,4.326,3.424,0.000,3.503,23.990,44.0,901,0
37.59,stress,single,4.409,3.363,0.000,3.503,23.990,44.0,1055,0
38.09,stress,single,4.969,3.801,0.000,3.498,23.990,44.0,1607,0
38.60,stress,single,4.269,3.359,0.000,3.498,23.990,44.0,1170,0
39.11,stress,single,4.361,3.435,0.000,3.498,23.990,44.0,873,0
39.61,stress,single,4.214,3.330,0.000,3.498,23.990,44.0,892,0
40.12,stress,single,4.241,3.349,0.000,3.504,23.980,45.0,929,0
40.62,stress,single,4.294,3.316,0.000,3.504,23.980,45.0,901,0
41.13,stress,single,4.323,3.392,0.000,3.504,23.980,44.0,980,0
41.63,stress,single,4.218,3.327,0.000,3.504,23.980,44.0,731,0
42.14,stress,single,4.271,3.364,0.000,3.504,23.980,45.0,804,0
42.64,stress,single,4.205,3.317,0.000,3.504,23.980,45.0,970,0
43.15,stress,single,4.386,3.373,0.000,3.504,23.980,45.0,998,0
43.65,stress,single,4.218,3.329,0.000,3.504,23.980,45.0,737,0
44.16,stress,single,4.246,3.345,0.000,3.504,23.980,45.0,977,0
44.66,stress,single,4.240,3.333,0.000,3.504,23.980,45.0,1571,0
45.17,stress,single,4.884,3.642,0.000,3.505,23.970,45.0,962,0
45.68,stress,single,4.907,3.570,0.000,3.505,23.970,45.0,1351,0
46.18,stress,single,4.312,3.400,0.000,3.505,23.970,45.0,968,0
46.69,stress,single,4.189,3.307,0.000,3.505,23.970,45.0,1131,0
47.19,stress,single,4.251,3.366,0.000,3.505,23.960,45.0,930,0
47.70,stress,single,4.307,3.358,0.000,3.505,23.960,45.0,1176,0
48.20,stress,single,5.192,3.894,0.000,3.505,23.960,45.0,976,0
48.71,stress,single,4.290,3.325,0.000,3.505,23.960,45.0,1097,0
49.21,stress,single,4.275,3.370,0.000,3.500,23.960,45.0,1109,0
49.72,stress,single,4.260,3.370,0.000,3.500,23.960,45.0,787,0
50.22,stress,single,3.557,1.930,0.003,3.500,23.960,37.0,1851,0
50.73,stress,allcore_zstd,7.021,4.675,0.005,3.500,23.960,37.0,1588,0
51.24,stress,allcore_zstd,5.935,4.152,0.000,3.495,23.960,38.0,1697,0
51.74,stress,allcore_zstd,5.928,4.039,0.004,3.495,23.960,38.0,1813,0
52.25,stress,allcore_zstd,6.076,4.203,0.004,3.495,23.960,38.0,1506,0
52.76,stress,allcore_zstd,5.862,4.081,0.002,3.495,23.960,38.0,1781,0
53.27,stress,allcore_zstd,5.985,4.221,0.002,3.494,23.950,38.0,1800,0
53.77,stress,allcore_zstd,6.066,4.273,0.003,3.494,23.950,38.0,1490,0
54.29,stress,allcore_zstd,5.891,4.059,0.000,3.494,23.950,39.0,1692,0
54.79,stress,allcore_zstd,5.958,4.173,0.000,3.494,23.950,39.0,1731,0
55.30,stress,allcore_zstd,5.971,4.132,0.000,3.494,23.950,39.0,1698,0
55.81,stress,allcore_zstd,5.990,4.124,0.000,3.494,23.950,39.0,1673,0
56.32,stress,allcore_zstd,5.956,4.186,0.000,3.496,23.940,39.0,1701,0
56.82,stress,allcore_zstd,6.033,4.222,0.000,3.496,23.940,39.0,1526,0
57.33,stress,allcore_zstd,5.932,3.960,0.000,3.496,23.940,39.0,1598,0
57.84,stress,allcore_zstd,5.948,4.136,0.000,3.496,23.940,39.0,1686,0
58.35,stress,allcore_zstd,5.978,3.976,0.000,3.492,23.930,39.0,1684,0
58.86,stress,allcore_zstd,5.952,4.156,0.000,3.492,23.930,39.0,1702,0
59.36,stress,allcore_zstd,5.983,4.205,0.000,3.492,23.930,39.0,1700,0
59.87,stress,allcore_zstd,5.972,4.172,0.000,3.492,23.930,39.0,1675,0
60.38,stress,allcore_zstd,5.993,4.258,0.000,3.494,23.930,39.0,1604,0
60.89,stress,allcore_zstd,6.014,4.235,0.000,3.494,23.930,39.0,1485,0
61.40,stress,allcore_zstd,5.917,4.195,0.000,3.494,23.930,40.0,1633,0
61.90,stress,allcore_zstd,6.006,4.310,0.000,3.494,23.930,40.0,1547,0
62.42,stress,allcore_zstd,5.914,4.256,0.000,3.493,23.920,40.0,1700,0
62.92,stress,allcore_zstd,6.030,4.273,0.000,3.493,23.920,40.0,1515,0
63.43,stress,allcore_zstd,5.921,4.251,0.000,3.493,23.920,40.0,1650,0
63.94,stress,allcore_zstd,6.002,4.314,0.000,3.493,23.920,40.0,1510,0
64.44,stress,allcore_zstd,5.905,4.188,0.000,3.492,23.920,40.0,1687,0
64.95,stress,allcore_zstd,6.010,4.305,0.000,3.492,23.920,40.0,1591,0
65.46,stress,allcore_zstd,5.952,4.136,0.000,3.492,23.920,40.0,1683,0
65.97,stress,allcore_zstd,5.977,4.255,0.000,3.492,23.920,40.0,1644,0
66.48,stress,allcore_zstd,5.946,4.218,0.000,3.492,23.920,40.0,1705,0
66.98,stress,allcore_zstd,6.009,4.219,0.000,3.492,23.920,40.0,1589,0
67.49,stress,allcore_zstd,5.935,4.241,0.000,3.493,23.910,40.0,1682,0
68.00,stress,allcore_zstd,5.978,4.276,0.000,3.493,23.910,40.0,1588,0
68.51,stress,allcore_zstd,5.953,4.047,0.000,3.493,23.910,40.0,1666,0
69.01,stress,allcore_zstd,5.973,4.250,0.000,3.493,23.910,40.0,1698,0
69.52,stress,allcore_zstd,5.955,4.220,0.000,3.493,23.900,40.0,1733,0
70.03,stress,allcore_zstd,5.935,4.186,0.000,3.493,23.900,40.0,1830,0
70.54,stress,allcore_zstd,5.940,4.232,0.000,3.493,23.900,41.0,1836,0
71.04,stress,allcore_zstd,6.022,4.255,0.000,3.493,23.900,41.0,1747,0
71.58,stress,allcore_zstd,5.955,4.315,0.000,3.494,23.890,41.0,1813,0
72.09,stress,allcore_zstd,5.989,4.308,0.000,3.494,23.890,41.0,1696,0
72.60,stress,allcore_zstd,5.943,4.204,0.000,3.494,23.890,41.0,1801,0
73.10,stress,allcore_zstd,5.964,4.238,0.000,3.494,23.890,41.0,1784,0
73.61,stress,allcore_zstd,5.963,4.262,0.000,3.494,23.890,41.0,1807,0
74.11,stress,allcore_zstd,5.972,4.278,0.000,3.494,23.890,41.0,1762,0
74.62,stress,allcore_zstd,5.974,4.310,0.000,3.494,23.890,42.0,1773,0
75.13,stress,allcore_zstd,5.973,4.284,0.000,3.494,23.890,42.0,1746,0
75.64,stress,allcore_zstd,5.966,4.317,0.000,3.493,23.880,41.0,1792,0
76.14,stress,allcore_zstd,5.977,4.122,0.000,3.493,23.880,41.0,1745,0
76.65,stress,allcore_zstd,5.900,4.274,0.000,3.493,23.880,41.0,1727,0
77.16,stress,allcore_zstd,5.989,4.297,0.000,3.493,23.880,41.0,1657,0
77.67,stress,allcore_zstd,5.958,4.312,0.000,3.493,23.880,41.0,1849,0
78.17,stress,allcore_zstd,6.046,4.088,0.000,3.493,23.880,41.0,1771,0
78.68,stress,allcore_zstd,5.820,4.109,0.000,3.494,23.870,42.0,1641,0
79.19,stress,allcore_zstd,5.975,4.346,0.000,3.494,23.870,42.0,1800,0
79.69,stress,allcore_zstd,6.089,4.248,0.000,3.494,23.870,42.0,1477,0
80.20,stress,allcore_zstd,6.002,3.921,0.000,3.494,23.870,42.0,1670,0
