Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	NMI	SMI	LLCMRPS	LLC%hit	L2MRPS	L2%hit	POLL%	C1ACPI%	C2ACPI%	C3ACPI%	CPU%c1	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc6	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%	UncMHz	SysWatt
23	1.60	1425	3302	1.20	8503	0	0	6	56.09	8	43.46	0.00	0.43	1.75	96.26	2.81	50.04	45.50	32	0	32	13.25	9.40	0.16	0.07	6.90	2.85	63.08	63.03	0.00	0.53	0.07	0.00	0.04	0.00	0.00	1400	0.00
19	1.41	1376	3302	0.81	8641	0	0	5	55.62	8	42.05	0.00	0.35	1.66	96.62	1.80	50.07	46.67	32	0	32	11.63	7.58	0.00	0.00	6.61	1.84	66.88	66.82	0.00	0.49	0.04	0.00	0.04	0.00	0.00	1500	0.00
404	13.60	2968	3303	5.63	19062	1	0	9	68.59	13	53.28	0.00	0.37	2.27	83.78	1.16	50.05	35.14	44	0	44	109.47	100.06	0.41	0.41	0.00	0.00	0.00	0.00	0.00	4.30	3.33	0.00	0.06	0.00	0.00	3000	0.00
405	13.40	3019	3302	5.76	17524	1	0	6	69.38	7	47.48	0.00	0.47	1.57	84.55	1.55	49.87	35.14	45	0	45	107.83	100.07	0.05	0.05	0.00	0.00	0.00	0.00	0.00	4.33	3.40	0.00	0.06	0.00	0.00	2400	0.00
407	13.45	3028	3302	5.73	20197	1	0	6	62.89	8	43.18	0.00	0.34	0.99	85.21	1.08	49.72	35.72	46	0	46	108.15	100.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.38	3.40	0.00	0.06	0.00	0.00	2400	0.00
1571	94.09	1671	3301	1.16	80755	3	0	117	40.29	192	50.35	0.00	0.16	0.79	4.73	0.20	3.28	2.18	39	0	39	754.95	100.02	0.39	0.39	0.00	0.00	0.00	0.00	0.00	5.87	4.03	0.00	0.28	0.00	0.00	1500	0.00
1635	99.64	1641	3303	1.34	81428	5	0	110	39.80	177	48.99	0.00	0.01	0.01	0.09	0.01	0.10	0.00	40	0	40	799.77	100.08	0.04	0.04	0.00	0.00	0.00	0.00	0.00	5.97	4.23	0.00	0.31	0.00	0.00	1600	0.00
1456	81.82	1779	3303	1.24	70462	2	0	100	37.97	167	47.55	0.00	0.15	0.92	16.93	0.15	17.78	0.00	42	0	42	657.28	100.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.96	4.25	0.00	0.30	0.00	0.00	1900	0.00
1025	55.35	1852	3302	1.47	52089	3	0	84	32.16	168	46.39	0.00	0.25	1.10	43.19	0.25	44.19	0.00	42	0	43	445.14	100.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.97	3.99	0.00	0.16	0.00	0.00	1800	0.00
1069	57.81	1849	3302	1.14	54865	5	0	88	39.95	157	47.28	0.00	0.33	0.80	40.94	0.36	28.98	12.66	43	0	43	463.99	100.06	0.02	0.02	0.00	0.00	0.00	0.00	0.00	5.84	3.51	0.00	0.25	0.00	0.00	1600	0.00
1649	99.72	1654	3302	1.24	81321	2	0	122	44.16	194	51.58	0.00	0.00	0.00	0.03	0.00	0.03	0.00	43	0	43	800.32	100.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.97	4.20	0.00	0.32	0.00	0.00	1600	0.00
1584	94.51	1676	3303	1.22	78390	4	0	118	39.57	184	45.91	0.00	0.05	0.42	4.79	0.05	5.19	0.00	44	0	44	758.77	100.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.97	4.17	0.00	0.31	0.00	0.00	1200	0.00
1523	88.04	1730	3303	1.21	74330	4	0	111	39.81	178	46.96	0.00	0.12	0.75	10.88	0.12	11.58	0.00	45	0	45	707.06	100.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.97	4.18	0.00	0.31	0.00	0.00	1700	0.00
843	43.25	1949	3303	1.51	45098	2	0	75	38.47	146	46.51	0.00	0.37	1.47	54.86	1.13	45.92	9.51	45	0	45	347.90	100.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.77	3.58	0.00	0.19	0.00	0.00	2700	0.00
1680	99.38	1691	3301	1.05	83118	4	0	127	43.60	193	49.32	0.00	0.07	0.02	0.29	0.06	0.30	0.00	45	0	45	797.37	100.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.02	4.18	0.00	0.31	0.00	0.00	1000	0.00
1605	99.44	1614	3303	1.34	81432	4	0	130	47.51	193	51.00	0.00	0.01	0.01	0.29	0.01	0.29	0.01	46	0	46	798.19	100.08	0.02	0.02	0.00	0.00	0.00	0.00	0.00	5.97	4.16	0.00	0.31	0.00	0.00	1700	0.00
1467	84.26	1741	3303	1.26	71923	4	0	103	39.45	171	48.32	0.00	0.11	0.89	14.54	0.11	15.38	0.00	46	0	46	676.78	100.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.97	4.22	0.00	0.30	0.00	0.00	1700	0.00
1169	62.69	1864	3303	1.30	58373	3	0	90	37.32	163	46.95	0.00	0.27	1.54	35.38	0.29	34.03	2.75	46	0	46	503.95	100.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.96	4.02	0.00	0.24	0.00	0.00	2200	0.00
787	48.51	1622	3302	3.24	53755	2	0	53	56.63	92	50.97	0.00	0.56	3.73	47.13	2.04	32.51	16.73	47	0	47	389.50	100.03	0.30	0.30	0.00	0.00	0.00	0.00	0.00	5.78	3.52	0.00	0.17	0.00	0.00	800	0.00
1287	99.75	1290	3302	4.67	81741	2	0	7	83.94	10	74.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	47	0	47	800.58	100.07	0.20	0.20	0.00	0.00	0.00	0.00	0.00	5.97	4.94	0.00	0.06	0.00	0.00	900	0.00
1408	99.74	1411	3302	3.98	81572	5	0	5	81.49	7	70.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	47	0	47	800.54	100.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.97	4.96	0.00	0.05	0.00	0.00	900	0.00
1651	99.72	1656	3302	3.00	81382	3	0	4	76.45	7	68.70	0.00	0.00	0.00	0.03	0.00	0.03	0.00	47	0	47	800.30	100.07	0.02	0.02	0.00	0.00	0.00	0.00	0.00	5.96	4.93	0.00	0.05	0.00	0.00	1000	0.00
1914	99.75	1919	3302	2.53	82321	5	0	7	79.38	10	69.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	47	0	47	800.57	100.07	0.02	0.02	0.00	0.00	0.00	0.00	0.00	5.97	4.96	0.00	0.06	0.00	0.00	900	0.00
1224	71.76	1706	3303	2.73	186521	3	0	58	91.00	74	74.10	0.01	10.16	7.99	10.14	10.97	11.50	5.27	47	0	47	577.15	90.66	49.08	39.81	0.00	0.00	0.00	0.00	0.00	5.86	3.55	0.93	0.18	0.00	0.00	1100	0.00
1061	99.43	1067	3303	4.46	145527	1	0	50	93.28	57	88.97	0.00	0.25	0.07	0.00	0.25	0.06	0.00	48	0	48	798.16	100.08	99.68	99.68	0.00	0.00	0.00	0.00	0.00	5.97	4.05	0.46	0.22	0.00	0.00	800	0.00
1168	99.46	1174	3302	3.88	149976	4	0	48	92.27	55	89.57	0.00	0.21	0.08	0.00	0.21	0.07	0.00	48	0	48	798.41	100.08	100.03	100.03	0.00	0.00	0.00	0.00	0.00	5.97	4.01	0.48	0.22	0.00	0.00	1300	0.00
1344	99.54	1351	3302	3.04	154025	3	0	41	91.00	54	85.43	0.00	0.16	0.05	0.00	0.16	0.04	0.00	48	0	48	798.91	100.07	99.89	99.89	0.00	0.00	0.00	0.00	0.00	5.97	3.99	0.48	0.22	0.00	0.00	1000	0.00
1602	99.38	1612	3303	2.46	152504	3	0	48	91.49	53	88.11	0.00	0.30	0.08	0.00	0.29	0.07	0.00	48	0	48	797.66	100.07	100.05	100.05	0.00	0.00	0.00	0.00	0.00	5.97	3.98	0.48	0.22	0.00	0.00	1000	0.00
1009	61.77	1634	3303	2.40	108430	4	0	36	87.80	49	77.93	0.00	1.19	2.75	34.20	2.94	19.87	15.18	45	0	45	496.35	69.32	63.73	63.58	1.81	2.42	15.10	15.09	0.00	4.05	2.51	0.32	0.16	0.00	0.00	1500	0.00
20	1.47	1367	3302	0.81	9720	0	0	6	60.29	8	43.47	0.00	0.44	1.88	96.28	1.66	50.23	46.59	43	0	43	12.12	7.95	0.17	0.10	6.62	1.29	68.73	68.68	0.00	0.50	0.06	0.00	0.04	0.00	0.00	1400	0.00
17	1.23	1409	3302	0.83	7562	0	0	5	59.00	6	43.47	0.00	0.41	1.36	97.05	1.69	49.94	47.10	42	0	42	10.19	6.74	0.01	0.00	7.35	1.48	71.01	70.96	0.00	0.47	0.05	0.00	0.03	0.00	0.00	1500	0.00
