t_s,tier,phase,soc_w,core_w,uncore_w,bat_power_now_w,bat_energy_wh,pkg_temp_c,cpu_mhz,fan_rpm
0.00,,gap,4.495,2.176,0.012,33.655,22.650,52.0,1013,0
0.52,,gap,1.989,0.138,0.000,33.660,22.670,41.0,1002,0
1.03,,gap,2.595,0.662,0.004,33.660,22.670,41.0,554,0
1.54,,gap,1.967,0.126,0.004,33.660,22.670,41.0,597,0
2.04,,gap,2.020,0.159,0.002,33.660,22.670,41.0,806,0
2.55,,gap,1.948,0.123,0.002,33.628,22.690,41.0,689,0
3.06,,gap,1.977,0.125,0.001,33.628,22.690,41.0,719,0
3.57,,gap,1.809,0.016,0.000,33.628,22.690,41.0,675,0
4.08,,gap,7.914,4.922,0.002,33.628,22.690,41.0,2600,0
4.59,,gap,4.371,2.104,0.002,33.644,22.710,42.0,1423,0
5.09,,gap,2.978,1.131,0.002,33.644,22.710,42.0,666,0
5.60,,gap,1.654,0.133,0.003,0.000,22.710,41.0,725,0
6.10,,gap,1.715,0.232,0.005,0.000,22.710,41.0,756,0
6.61,,gap,1.803,0.511,0.000,6.089,22.710,42.0,983,0
7.11,,gap,1.613,0.359,0.013,6.089,22.710,42.0,605,0
7.63,,gap,0.514,0.025,0.000,6.089,22.710,41.0,667,0
8.13,,gap,2.695,1.023,0.045,6.089,22.710,41.0,1146,0
8.64,,gap,1.694,0.523,0.046,6.081,22.700,41.0,623,0
9.15,,gap,1.068,0.182,0.013,6.081,22.700,41.0,1115,0
9.66,,gap,2.169,0.764,0.093,6.081,22.700,41.0,1069,0
10.16,,gap,0.923,0.093,0.000,6.081,22.700,41.0,514,0
10.67,,gap,0.799,0.079,0.000,6.081,22.700,41.0,1137,0
11.18,,gap,0.692,0.037,0.000,6.081,22.700,41.0,832,0
11.69,,gap,0.713,0.040,0.000,6.091,22.700,40.0,674,0
12.20,,gap,0.615,0.034,0.000,6.091,22.700,40.0,892,0
12.71,,gap,0.849,0.058,0.000,6.091,22.700,40.0,924,0
13.22,,gap,0.465,0.035,0.000,6.091,22.700,40.0,641,0
13.73,,gap,0.487,0.028,0.000,6.088,22.700,40.0,1096,0
14.24,,gap,0.589,0.073,0.000,6.088,22.700,40.0,937,0
14.75,,gap,1.255,0.522,0.000,6.088,22.700,41.0,1202,0
15.26,,gap,0.936,0.197,0.002,6.088,22.700,41.0,656,0
15.77,battery6,idle,1.715,0.661,0.002,6.083,22.690,40.0,1280,0
16.28,battery6,idle,0.461,0.033,0.000,6.083,22.690,40.0,906,0
16.79,battery6,idle,0.499,0.058,0.000,6.083,22.690,40.0,1017,0
17.30,battery6,idle,0.431,0.032,0.001,6.083,22.690,40.0,859,0
17.81,battery6,idle,1.383,0.550,0.000,6.087,22.690,41.0,1223,0
18.32,battery6,idle,0.803,0.062,0.001,6.087,22.690,41.0,1036,0
18.83,battery6,idle,0.835,0.153,0.000,6.087,22.690,40.0,1016,0
19.33,battery6,idle,0.684,0.117,0.000,6.087,22.690,40.0,614,0
19.84,battery6,idle,0.524,0.057,0.000,6.084,22.680,40.0,670,0
20.35,battery6,idle,0.641,0.073,0.000,6.084,22.680,40.0,589,0
20.86,battery6,idle,0.540,0.037,0.000,6.084,22.680,40.0,1341,0
21.36,battery6,idle,0.673,0.092,0.000,6.084,22.680,40.0,998,0
21.87,battery6,idle,0.458,0.037,0.000,6.084,22.680,40.0,878,0
22.38,battery6,idle,0.650,0.047,0.000,6.084,22.680,40.0,696,0
22.89,battery6,idle,0.632,0.052,0.000,6.081,22.680,40.0,690,0
23.40,battery6,idle,0.497,0.058,0.000,6.081,22.680,40.0,598,0
23.91,battery6,idle,0.640,0.051,0.000,6.081,22.680,40.0,898,0
24.41,battery6,idle,0.374,0.026,0.000,6.081,22.680,40.0,685,0
24.92,battery6,idle,0.599,0.045,0.000,6.077,22.680,40.0,759,0
25.43,battery6,idle,0.622,0.081,0.000,6.077,22.680,40.0,657,0
25.94,battery6,idle,0.505,0.051,0.000,6.077,22.680,40.0,937,0
