tier	task	seconds	t0	t1	soc_joules	work
4W#p1	zstd_mt	21.095	1789821343.652	1789821364.747	84.6	500
4W#p1	sha_mt	5.132	1789821367.773	1789821372.904	21.1	4096
4W#p1	pdf_mt	6.761	1789821375.964	1789821382.725	27.3	80
4W#p1	pdf_st	9.893	1789821385.767	1789821395.660	27.7	40
4W#p1	py_st	3.342	1789821398.679	1789821402.021	13.5	2
4W#p1	sha_st	4.897	1789821405.041	1789821409.938	19.2	2048
5W#p1	zstd_mt	15.726	1789821427.052	1789821442.779	78.4	500
5W#p1	sha_mt	3.816	1789821445.805	1789821449.621	19.4	4096
5W#p1	pdf_mt	5.181	1789821452.676	1789821457.856	26.1	80
5W#p1	pdf_st	9.790	1789821460.894	1789821470.684	28.8	40
5W#p1	py_st	3.024	1789821473.702	1789821476.727	15.1	2
5W#p1	sha_st	4.692	1789821479.746	1789821484.438	19.9	2048
5.5W#p1	zstd_mt	13.814	1789821501.560	1789821515.374	75.8	500
5.5W#p1	sha_mt	3.282	1789821518.400	1789821521.682	18.8	4096
5.5W#p1	pdf_mt	4.748	1789821524.761	1789821529.509	26.2	80
5.5W#p1	pdf_st	9.807	1789821532.567	1789821542.374	28.8	40
5.5W#p1	py_st	2.919	1789821545.406	1789821548.325	15.0	2
5.5W#p1	sha_st	4.708	1789821551.355	1789821556.063	19.8	2048
6W#p1	zstd_mt	12.142	1789821575.195	1789821587.337	72.6	500
6W#p1	sha_mt	3.090	1789821590.369	1789821593.459	18.9	4096
6W#p1	pdf_mt	4.545	1789821596.526	1789821601.071	27.4	80
6W#p1	pdf_st	9.814	1789821604.115	1789821613.929	28.2	40
6W#p1	py_st	2.944	1789821616.956	1789821619.900	14.9	2
6W#p1	sha_st	4.854	1789821622.919	1789821627.773	19.7	2048
6.5W#p1	zstd_mt	11.196	1789821646.892	1789821658.088	72.6	500
6.5W#p1	sha_mt	2.837	1789821661.117	1789821663.954	18.8	4096
6.5W#p1	pdf_mt	4.284	1789821667.007	1789821671.291	27.9	80
6.5W#p1	pdf_st	9.789	1789821674.327	1789821684.116	28.8	40
6.5W#p1	py_st	2.923	1789821687.135	1789821690.058	14.9	2
6.5W#p1	sha_st	4.749	1789821693.077	1789821697.826	19.8	2048
7W#p1	zstd_mt	10.708	1789821716.948	1789821727.656	74.6	500
7W#p1	sha_mt	2.711	1789821730.679	1789821733.390	19.2	4096
7W#p1	pdf_mt	4.003	1789821736.462	1789821740.466	28.0	80
7W#p1	pdf_st	9.858	1789821743.537	1789821753.395	28.4	40
7W#p1	py_st	2.894	1789821756.426	1789821759.320	15.1	2
7W#p1	sha_st	4.949	1789821762.350	1789821767.299	20.2	2048
7.5W#p1	zstd_mt	10.107	1789821790.456	1789821800.563	75.4	500
7.5W#p1	sha_mt	2.508	1789821803.590	1789821806.099	18.8	4096
7.5W#p1	pdf_mt	3.949	1789821809.166	1789821813.115	29.1	80
7.5W#p1	pdf_st	9.860	1789821816.172	1789821826.032	28.2	40
7.5W#p1	py_st	2.904	1789821829.057	1789821831.961	15.0	2
7.5W#p1	sha_st	4.867	1789821834.992	1789821839.858	19.6	2048
8W#p1	zstd_mt	9.516	1789821862.992	1789821872.508	75.4	500
8W#p1	sha_mt	2.287	1789821875.533	1789821877.820	18.4	4096
8W#p1	pdf_mt	3.727	1789821880.879	1789821884.605	29.5	80
8W#p1	pdf_st	9.878	1789821887.644	1789821897.522	28.7	40
8W#p1	py_st	2.921	1789821900.541	1789821903.462	15.1	2
8W#p1	sha_st	4.948	1789821906.481	1789821911.428	19.9	2048
9W#p1	zstd_mt	8.294	1789821938.599	1789821946.893	73.9	500
9W#p1	sha_mt	2.133	1789821949.917	1789821952.050	19.1	4096
9W#p1	pdf_mt	3.497	1789821955.115	1789821958.612	30.4	80
9W#p1	pdf_st	9.872	1789821961.669	1789821971.541	28.0	40
9W#p1	py_st	2.938	1789821974.571	1789821977.509	15.0	2
9W#p1	sha_st	4.757	1789821980.541	1789821985.298	19.6	2048
10W#p1	zstd_mt	7.732	1789822010.456	1789822018.187	75.7	500
10W#p1	sha_mt	2.003	1789822021.214	1789822023.217	19.5	4096
10W#p1	pdf_mt	3.425	1789822026.270	1789822029.695	31.7	80
10W#p1	pdf_st	9.867	1789822032.737	1789822042.604	28.2	40
10W#p1	py_st	2.889	1789822045.623	1789822048.512	15.0	2
10W#p1	sha_st	4.864	1789822051.545	1789822056.408	20.0	2048
12W#p1	zstd_mt	6.814	1789822079.541	1789822086.355	80.2	500
12W#p1	sha_mt	1.786	1789822089.375	1789822091.161	20.7	4096
12W#p1	pdf_mt	3.328	1789822094.217	1789822097.545	32.9	80
12W#p1	pdf_st	9.777	1789822100.583	1789822110.360	28.5	40
12W#p1	py_st	2.889	1789822113.382	1789822116.271	15.1	2
12W#p1	sha_st	4.709	1789822119.290	1789822123.999	19.2	2048
